Topic,Word,Weight
topic_0,labour,578.0
topic_0,social,331.0
topic_0,country,275.0
topic_0,benefit,263.0
topic_0,migrant,205.0
topic_0,society,205.0
topic_0,cent,181.0
topic_0,security,173.0
topic_0,firm,165.0
topic_0,woman,159.0
topic_0,temporary,156.0
topic_0,rights,151.0
topic_0,public,144.0
topic_0,wages,139.0
topic_0,cost,135.0
topic_0,form,135.0
topic_0,service,128.0
topic_0,million,125.0
topic_0,global,117.0
topic_0,grow,111.0
topic_0,move,110.0
topic_0,policy,108.0
topic_0,status,105.0
topic_0,call,103.0
topic_0,age,103.0
topic_1,platform,366.0
topic_1,digital,302.0
topic_1,company,224.0
topic_1,internet,201.0
topic_1,datum,157.0
topic_1,user,151.0
topic_1,service,144.0
topic_1,write,139.0
topic_1,online,134.0
topic_1,social,128.0
topic_1,call,126.0
topic_1,exploitation,117.0
topic_1,value,117.0
topic_1,media,117.0
topic_1,design,117.0
topic_1,cooperative,115.0
topic_1,start,114.0
topic_1,crowd,112.0
topic_1,book,110.0
topic_1,chapter,102.0
topic_1,business,100.0
topic_1,site,99.0
topic_1,day,96.0
topic_1,share,94.0
topic_1,term,93.0
topic_2,project,493.0
topic_2,individual,389.0
topic_2,self,284.0
topic_2,social,266.0
topic_2,creative,260.0
topic_2,human,205.0
topic_2,power,198.0
topic_2,subject,196.0
topic_2,quality,192.0
topic_2,contract,168.0
topic_2,management,161.0
topic_2,form,161.0
topic_2,theory,159.0
topic_2,practice,158.0
topic_2,experience,154.0
topic_2,model,148.0
topic_2,idea,148.0
topic_2,force,148.0
topic_2,mean,143.0
topic_2,action,140.0
topic_2,sense,136.0
topic_2,competition,133.0
topic_2,follow,132.0
topic_2,success,131.0
topic_3,social,252.0
topic_3,europe,168.0
topic_3,union,154.0
topic_3,america,152.0
topic_3,precarity,130.0
topic_3,power,120.0
topic_3,neoliberalism,114.0
topic_3,global,98.0
topic_3,recession,93.0
topic_3,unemployment,92.0
topic_3,revolution,89.0
topic_3,rate,85.0
topic_3,financial,85.0
topic_3,populism,84.0
topic_3,democracy,83.0
topic_3,wage,78.0
topic_3,capitalist,74.0
topic_3,green,73.0
topic_3,form,73.0
topic_3,war,73.0
topic_3,basic,71.0
topic_3,defeat,71.0
topic_3,demand,71.0
topic_3,lead,70.0
topic_3,national,69.0
topic_4,social,234.0
topic_4,process,181.0
topic_4,human,166.0
topic_4,cognitive,131.0
topic_4,form,121.0
topic_4,mind,101.0
topic_4,effect,93.0
topic_4,intellectual,88.0
topic_4,depression,84.0
topic_4,century,80.0
topic_4,body,79.0
topic_4,power,78.0
topic_4,production,77.0
topic_4,attention,76.0
topic_4,war,72.0
topic_4,sign,70.0
topic_4,condition,66.0
topic_4,organism,64.0
topic_4,capitalist,64.0
topic_4,information,63.0
topic_4,knowledge,61.0
topic_4,word,58.0
topic_4,productive,58.0
topic_4,sphere,58.0
topic_4,desire,56.0
